name	ID	manual	auto	checked	blacklisted
positive regulation of cell proliferation involved in kidney development	GO_1901724	0	1	1	0
positive regulation of branching involved in ureteric bud morphogenesis	GO_0090190	0	1	1	0
pattern specification involved in pronephros development	GO_0039017	0	1	1	0
pattern specification involved in metanephros development	GO_0072268	0	1	1	0
pattern specification involved in mesonephros development	GO_0061227	0	1	1	0
outer stripe development	GO_0072058	0	1	1	0
outer medullary collecting duct development	GO_0072060	0	1	1	0
nephrostome development	GO_0039018	0	1	1	0
nephron tubule epithelial cell differentiation	GO_0072160	0	1	1	0
nephron morphogenesis	GO_0072028	0	1	1	0
nephron epithelium morphogenesis	GO_0072088	0	1	1	0
nephron epithelium development	GO_0072009	0	1	1	0
nephron development	GO_0072006	0	1	1	0
nephrogenic mesenchyme morphogenesis	GO_0072134	0	1	1	0
nephrogenic mesenchyme development	GO_0072076	0	1	1	0
nephric duct morphogenesis	GO_0072178	0	1	1	0
nephric duct formation	GO_0072179	0	1	1	0
nephric duct elongation	GO_0035849	0	1	1	0
nephric duct development	GO_0072176	0	1	1	0
negative regulation of nephron tubule epithelial cell differentiation	GO_0072183	0	1	1	0
negative regulation of metanephros development	GO_0072217	0	1	1	0
negative regulation of metanephric nephron tubule epithelial cell differentiation	GO_0072308	0	1	1	0
negative regulation of metanephric mesenchymal cell migration	GO_2000590	0	1	1	0
negative regulation of mesonephros development	GO_0061218	0	1	1	0
negative regulation of mesonephric nephron tubule epithelial cell differentiation	GO_2000094	0	1	1	0
negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis	GO_0003340	0	1	1	0
negative regulation of mesenchymal to epithelial transition involved in mesonephros morphogenesis	GO_2000085	0	1	1	0
negative regulation of mesenchymal cell apoptotic process involved in nephron morphogenesis	GO_0072040	0	1	1	0
negative regulation of mesenchymal cell apoptotic process involved in metanephros development	GO_1900212	0	1	1	0
negative regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis	GO_0072305	0	1	1	0
negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis	GO_0061296	0	1	1	0
negative regulation of glial cell-derived neurotrophic factor receptor signaling pathway involved in ureteric bud formation	GO_2000734	0	1	1	0
negative regulation of fibroblast growth factor receptor signaling pathway involved in ureteric bud formation	GO_2000703	0	1	1	0
negative regulation of epithelial cell differentiation involved in kidney development	GO_2000697	0	1	1	0
negative regulation of cell proliferation involved in mesonephros development	GO_2000607	0	1	1	0
negative regulation of cell proliferation involved in kidney development	GO_1901723	0	1	1	0
negative regulation of branching involved in ureteric bud morphogenesis	GO_0090191	0	1	1	0
negative regulation of branch elongation involved in ureteric bud branching by BMP signaling pathway	GO_0072097	0	1	1	0
negative regulation of branch elongation involved in ureteric bud branching	GO_0072096	0	1	1	0
metanephros morphogenesis	GO_0003338	0	1	1	0
metanephros development	GO_0001656	0	1	1	0
metanephric thick ascending limb development	GO_0072233	0	1	1	0
metanephric smooth muscle tissue development	GO_0072208	0	1	1	0
metanephric short descending thin limb development	GO_0072271	0	1	1	0
metanephric nephron tubule epithelial cell differentiation	GO_0072257	0	1	1	0
metanephric nephron epithelium development	GO_0072243	0	1	1	0
metanephric mesenchymal cell proliferation involved in metanephros development	GO_0072136	0	1	1	0
metanephric mesenchymal cell migration	GO_0035789	0	1	1	0
metanephric mesenchymal cell differentiation	GO_0072162	0	1	1	0
metanephric long descending thin limb development	GO_0072269	0	1	1	0
metanephric long descending thin limb bend development	GO_0072226	0	1	1	0
metanephric glomerular visceral epithelial cell fate commitment	GO_0072250	0	1	1	0
metanephric glomerular visceral epithelial cell differentiation	GO_0072248	0	1	1	0
metanephric glomerular visceral epithelial cell development	GO_0072249	0	1	1	0
metanephric glomerular parietal epithelial cell fate commitment	GO_0072247	0	1	1	0
metanephric glomerular parietal epithelial cell differentiation	GO_0072245	0	1	1	0
metanephric glomerular parietal epithelial cell development	GO_0072246	0	1	1	0
metanephric glomerular epithelium development	GO_0072244	0	1	1	0
metanephric glomerular epithelial cell fate commitment	GO_0072315	0	1	1	0
metanephric glomerular epithelial cell differentiation	GO_0072312	0	1	1	0
metanephric glomerular epithelial cell development	GO_0072313	0	1	1	0
metanephric glomerular endothelium development	GO_0072264	0	1	1	0
metanephric glomerular capillary formation	GO_0072277	0	1	1	0
metanephric epithelium development	GO_0072207	0	1	1	0
metanephric descending thin limb development	GO_0072220	0	1	1	0
metanephric cap mesenchymal cell proliferation involved in metanephros development	GO_0090094	0	1	1	0
metanephric ascending thin limb development	GO_0072218	0	1	1	0
mesonephros morphogenesis	GO_0061206	0	1	1	0
mesonephros development	GO_0001823	0	1	1	0
mesonephric smooth muscle tissue development	GO_0061214	0	1	1	0
mesonephric nephron tubule epithelial cell differentiation	GO_0061265	0	1	1	0
mesonephric nephron morphogenesis	GO_0061228	0	1	1	0
mesonephric nephron epithelium development	GO_0061241	0	1	1	0
mesonephric nephron development	GO_0061215	0	1	1	0
mesonephric mesenchyme morphogenesis	GO_0061221	0	1	1	0
mesonephric mesenchyme development	GO_0061219	0	1	1	0
mesonephric mesenchymal cell proliferation involved in mesonephros development	GO_0061222	0	1	1	0
mesonephric mesenchymal cell differentiation	GO_0061223	0	1	1	0
mesonephric macula densa development	GO_0061220	0	1	1	0
mesonephric interstitial fibroblast fate commitment	GO_0061268	0	1	1	0
